GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
3041,1817,4278.61,4955.12,483.49,278.6,-139.36,-3895.91,-29163.27,1622.41,17218.08,-5390.8,170.86,-2545.21,-5219.94,-7765.15,,,,,,,,,
3051,1771.61,4228.66,4991.68,471.88,288.16,-110.59,-3862.89,-29204.68,1667.04,17295.76,-5435.15,164.75,-2463.36,-5270.4,-7733.76,,,,,,,,,
3061,1827.85,4325.73,5002.82,464.55,257.14,-116.15,-3870.53,-28985.99,1611.56,17078.08,-5450.05,167.64,-2404.94,-5282.42,-7687.36,,,,,,,,,
3071,1770.32,4268.87,4999.47,469.18,273.38,-129.55,-3839.73,-28961.11,1586.74,17098.16,-5541.29,171.78,-2464.26,-5369.5,-7833.76,,,,,,,,,
3081,1825.25,4228.9,4931.79,486.41,262.95,-133.93,-3810.67,-28919.8,1628.2,17051.18,-5500.57,173.5,-2449.71,-5327.07,-7776.78,,,,,,,,,
3091,1776.59,4279.87,4966.72,464.93,264.05,-121.7,-3854.22,-29054.23,1625.9,17215.39,-5497.94,165.31,-2436.69,-5332.63,-7769.32,,,,,,,,,
3101,1831.48,4235.34,5001.48,483.13,258.43,-116.49,-3834.55,-29129.31,1636.43,17124.92,-5386.79,167.28,-2509.15,-5219.51,-7728.65,,,,,,,,,
3111,1864.12,4260.73,4963.81,472.49,283.72,-90.74,-3800.29,-29093.19,1632.22,17069.09,-5392.23,167.8,-2438.03,-5224.43,-7662.46,,,,,,,,,
3121,1841.35,4271.39,4981.49,483.01,267.27,-113.94,-3873.04,-29098.81,1591.56,17088.93,-5421.53,170.77,-2560.78,-5250.76,-7811.54,,,,,,,,,
3131,1805.36,4261.83,4991.09,463.29,267.45,-124.64,-3845.04,-29058,1622.74,17211.52,-5493.8,168.94,-2404.39,-5324.86,-7729.25,,,,,,,,,
