GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
2421,1818.26,4209.06,4966.33,476.93,284.56,-110.62,-3858.04,-28954.12,1599.88,17057.2,-5488.33,169.02,-2510.56,-5319.31,-7829.87,,,,,,,,,
2431,1817.24,4216.01,4987.96,482.72,267.41,-93.03,-3857.86,-29052.88,1624.36,17051.72,-5409.65,164.47,-2556.34,-5245.19,-7801.53,,,,,,,,,
2441,1759.72,4228.76,4992.78,453.71,265.64,-150.37,-3940.76,-29072.22,1660.03,17022.7,-5311.56,162.12,-2780.01,-5149.44,-7929.45,,,,,,,,,
2451,1851.79,4206.23,4934.56,472.13,264.16,-140.55,-3793.54,-29140.59,1616.72,16970.13,-5368.43,168.68,-2758.97,-5199.75,-7958.71,,,,,,,,,
2461,1789.19,4193.18,5002.83,480.8,247.27,-157.65,-3788.97,-29076.75,1617.67,17109.83,-5489.76,171.11,-2582.59,-5318.64,-7901.24,,,,,,,,,
2471,1796.86,4219.31,4941.23,478.45,261.84,-120.7,-3878.41,-28857.21,1603.26,17015.62,-5538.87,167.57,-2539.75,-5371.3,-7911.05,,,,,,,,,
2481,1762.26,4236.2,4992.3,451.17,261.33,-133.65,-3861.37,-29121.78,1627.01,17127.31,-5386.16,167.65,-2659.23,-5218.51,-7877.73,,,,,,,,,
2491,1829.58,4229.22,4970.63,472.53,274.97,-136.13,-3834.73,-28968.53,1603.98,16956.92,-5417.83,169.16,-2601.56,-5248.67,-7850.24,,,,,,,,,
2501,1820.75,4283.77,4972.09,476.68,266.66,-127.86,-3851.39,-28841.47,1581.31,16969.59,-5526.62,168.79,-2449.87,-5357.82,-7807.69,,,,,,,,,
2511,1811.35,4286.73,4946.44,474.43,276.61,-123.45,-3844.31,-28988.92,1613.17,16977.78,-5404.12,165.05,-2570.17,-5239.06,-7809.23,,,,,,,,,
2521,1802.42,4231.8,4986.82,468.42,280.34,-117.15,-3888.16,-29028.58,1625.65,17131.45,-5443.1,161.83,-2507,-5281.27,-7788.27,,,,,,,,,
