GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
2061,1873.13,4291.33,5214.13,501.16,294,-203.25,-3882.04,-32003.4,1753.41,22697.36,-6500.59,178.32,535.83,-6322.27,-5786.44,,,,,
2071,1822.03,4273.26,5195.75,513.07,275.37,-201.74,-3880.62,-31992.37,1746.74,22719.69,-6517.16,181.5,471.19,-6335.67,-5864.48,,,,,
2081,1737.34,4167.67,5250.01,493.75,289.87,-179.06,-3943.87,-31838.58,1774.86,22668.17,-6560.64,174.29,420.16,-6386.34,-5966.18,,,,,
2091,1700.91,4246.38,5249.91,516.09,289.42,-212.98,-3987.41,-31749.98,1752.12,22745.59,-6651.84,172.99,550.06,-6478.86,-5928.79,,,,,
2101,1774.49,4241.16,5242.57,520.71,280.56,-201.02,-3908.97,-31646.04,1756.68,22628.19,-6738.54,176.29,688.33,-6562.25,-5873.92,,,,,
2111,1844.61,4300.32,5193.52,523.99,264.39,-203.17,-3980.16,-31618.43,1754.17,22581.93,-6710.32,176.33,661.18,-6533.98,-5872.81,,,,,
2121,1839.82,4264.61,5207.26,509.31,300.78,-187.62,-4000.99,-31651.4,1765.97,22620.25,-6645.38,174.74,667.98,-6470.64,-5802.65,,,,,
2131,1869.69,4190.34,5197.42,512.07,268.7,-187.87,-3936.18,-31730.78,1723.45,22661.43,-6699.88,181.97,568.27,-6517.92,-5949.65,,,,,
2141,1874.16,4223.08,5209.67,509.33,277.07,-179.84,-3915.27,-31513.88,1732.38,22535.61,-6796.14,178.52,752.31,-6617.62,-5865.31,,,,,
2151,1815.46,4148.53,5211.81,509.21,273.79,-181.87,-4022.93,-31489.97,1781.13,22638.74,-6807.75,176.66,683.9,-6631.09,-5947.19,,,,,
2161,1823.11,4243.32,5251.34,520.83,269.69,-191.66,-3940.11,-31671.55,1748.68,22615.95,-6686.98,178.86,669.6,-6508.13,-5838.53,,,,,
2171,1784.85,4290.82,5235.23,518.71,267.29,-200.26,-3945.34,-31732.02,1751.3,22711.4,-6650.35,180.22,681.98,-6470.12,-5788.14,,,,,
2181,1779.04,4158.38,5238.19,497.2,294.34,-184,-3972.33,-31719.66,1771.61,22663,-6674.85,180.7,525.77,-6494.16,-5968.38,,,,,
2191,1816.42,4258.93,5264.12,520,278.18,-191.17,-3900.89,-31715.45,1767.87,22676.18,-6705.47,181.58,774.21,-6523.89,-5749.68,,,,,
2201,1859.91,4249.58,5263.52,494.58,266.15,-201.37,-3956.88,-31627.81,1723.48,22546.62,-6670.24,181.35,617.78,-6488.89,-5871.11,,,,,
2211,1792.12,4310.33,5266.84,505.74,268.47,-209.74,-3929.36,-31780.08,1739.1,22593.52,-6620.55,181.74,556.93,-6438.81,-5881.88,,,,,
2221,1841.55,4190.42,5227.26,503.05,281.19,-188.47,-3974.51,-31751.89,1749.38,22616.46,-6588.69,178.49,494.43,-6410.2,-5915.77,,,,,
2231,1801.51,4264.74,5233.72,513.68,275.74,-194.34,-3937.99,-31873.54,1729.09,22654.46,-6527.2,182.36,467.08,-6344.84,-5877.76,,,,,
2241,1767.48,4199.57,5233.77,499.54,261.82,-213.87,-3947.44,-31800.71,1747.55,22678.48,-6582.93,177.44,426.19,-6405.5,-5979.31,,,,,
2251,1801.09,4271.36,5218.45,507.87,272.88,-202.29,-3942.34,-31675.06,1793.47,22535.09,-6642.18,177.53,580.53,-6464.65,-5884.12,,,,,
2261,1775.98,4286.19,5219.34,508.63,262.72,-195.36,-3923.84,-31865.78,1750.48,22584.78,-6471.32,179.42,403.13,-6291.9,-5888.77,,,,,
2271,1744.48,4217.25,5193.83,508.62,272.55,-180.68,-3942.87,-31772.94,1775.75,22656.09,-6578.11,179.75,472.08,-6398.36,-5926.28,,,,,
2281,1867.67,4312.19,5240.66,523.58,284.07,-233.31,-3902.11,-31689.14,1749.66,22616.07,-6671.26,181.47,769.35,-6489.79,-5720.43,,,,,
2291,1828.64,4219.18,5234.11,514.35,271.44,-208.19,-3968.46,-31644.52,1726.69,22694.73,-6752.52,181.1,667.96,-6571.42,-5903.46,,,,,
2301,1838.4,4262.9,5229.96,525.69,273.6,-197.99,-3937.02,-31688.73,1739.33,22516.39,-6612.56,179.88,562.53,-6432.68,-5870.15,,,,,
2311,1739.95,4304.59,5176.49,509.26,279.85,-204.95,-3874.68,-31724.24,1789.22,22528.56,-6564.8,182.47,524.04,-6382.32,-5858.29,,,,,
2321,1818.52,4266.75,5222.03,498.73,236.23,-198.21,-3940.99,-31940.1,1762.87,22521.2,-6408.85,176.13,247.02,-6232.72,-5985.7,,,,,
2331,1845.97,4113.03,5231.28,510.05,282.56,-217.38,-3927.27,-31743.7,1722.44,22572.51,-6630.81,182.81,389.51,-6447.99,-6058.48,,,,,
2341,1733.82,4215.97,5224.75,507.72,286.65,-196.99,-3917.43,-31856.6,1788.05,22586.5,-6549.41,179.79,372.44,-6369.63,-5997.19,,,,,
2351,1846.92,4232.21,5211.87,517.05,262.7,-213.65,-3937.02,-31840.2,1742.38,22582.01,-6532.32,178.97,404.27,-6353.35,-5949.08,,,,,
2361,1824.94,4278.34,5287.11,522.55,282.14,-196.65,-3950.5,-31758.61,1714.2,22617.07,-6614.27,181.11,620.59,-6433.16,-5812.57,,,,,
2371,1816.71,4152.33,5245.29,503.63,274.13,-197.88,-3953.94,-32129.35,1782.52,22694.31,-6352.22,174.9,187.75,-6177.32,-5989.57,,,,,
